# Constructed from biom file
#OTU ID	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538
p:Anthophyta,c:Unknown_27536,o:Unknown_27537;Other	0.0	0.0	0.0	1.77130660432e-06	0.0	0.0	1.38363300518e-06	0.0	0.0	1.46648531132e-05	0.0	0.0	0.0	0.0	0.0	4.81929568885e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p:Ascomycota;Other	0.0314434925626	0.014602198884	0.0350914691277	0.0408286172295	0.0201078401242	0.0548834241876	0.0297660968405	0.0130820025996	0.0144382956597	0.0165566191648	0.0247113039252	0.00514516079132	0.0297144075392	0.012821100672	0.0309630859624	0.0153258422201	0.0491746703946	0.00897152749527	0.00449620934371	0.0485495877031	0.0322650503568	0.119696319816	0.011571514625	0.0731122542058	0.0171023022712	0.0106672743168	0.106124987778	0.230826955372	0.736052193599	0.42424448566	0.161283097434	0.0493595940831	0.00856562904328	0.345373136727	0.0945854736439	0.0287734537744	0.161145642366	0.221742259444	0.312216966076	0.645633175236	0.0470530723386	0.0502281425197	0.540295276044	0.187849130468	0.452564992213	0.194295204618	0.228816442555	0.192310503767	0.0242192631257	0.0410425572361	0.234350079883	0.0165535977174	0.213319018514	0.0853660256422	0.306151253135	0.401737491538	0.167738938948	0.0431288615004	0.0345259165762	0.0116490967087	0.942548601109
p:Ascomycota,c:Arthoniomycetes,o:Arthoniales,f:Unknown_21656;Other	0.0	0.0	9.36943689684e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p:Ascomycota,c:Dothideomycetes;Other	0.0108341478374	0.00113455933775	0.00344326805959	0.00492777497321	0.00322625793038	0.0303991250332	0.00501151874477	0.00210925169436	0.00224127488401	0.00133083542002	0.000751554863505	0.0060544754828	0.001879584751	0.000205571680323	0.000247796653468	8.67473223993e-06	0.00162274991769	0.000858525517714	0.00318562037766	0.000651771284314	4.07644350686e-05	0.00094571168155	0.000749267528362	0.00135037005505	0.000319813493593	0.000431798071006	0.000600800832168	0.000548243616878	0.000320816358552	0.00021306499124	0.000483592224855	0.000192090181285	7.82964263554e-05	0.000506169877957	0.000431595138322	0.000610848418588	0.000173862046354	3.10062844843e-05	4.76387836866e-06	5.97172617339e-05	7.19570724665e-05	4.45917458449e-06	2.13872775312e-05	1.63115762002e-05	0.000128642340895	2.74113966913e-05	5.56437022458e-05	2.63964750553e-05	0.000111634480531	0.00228237610829	4.29552669393e-05	0.000107756985233	4.45481922344e-06	1.76283209553e-05	0.0	0.00014406308375	0.000102728310939	0.00214831360048	0.000392004524582	0.000390973285082	2.31364995633e-07
p:Ascomycota,c:Dothideomycetes,o:Capnodiales;Other	0.0	3.00147972951e-05	0.0	0.0	0.0	0.0	2.76726601036e-06	4.35196360598e-06	6.42813064247e-06	0.0	1.50010950799e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14217575344e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Capnodiaceae,g:Capnodium;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85694695221e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46080236066e-06	0.0	1.0731417656e-05	0.0	0.0	9.42432677911e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37141748676e-06	0.0	0.0	0.0	0.0
p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium;Other	0.00721740538641	0.00114356377694	0.0240853087229	0.00192363897229	0.000874379385424	0.0135723568318	0.00471127038264	0.000969037229598	0.00865154960803	0.00119976829532	0.00171312505813	0.000286514836222	0.00160982953211	5.80797312437e-05	0.000140503257121	0.000655906143253	8.69031881772e-05	0.000143729234655	0.000128868138255	8.40519529545e-05	2.12314765982e-05	0.00143619102085	0.000468007529114	0.000537465167607	2.20561030064e-06	0.000265994704932	0.000140186860839	0.000302353622597	6.5844405467e-05	5.13409617446e-06	0.000104354111679	4.54950429359e-05	1.95741065888e-05	1.83644400166e-05	8.22489752795e-05	1.9946070811e-05	8.543022198e-06	4.07977427425e-05	0.0	5.05299906979e-05	0.000201022932605	4.45917458449e-06	9.5420161293e-05	1.50568395694e-05	7.42167351316e-06	2.90238317908e-05	0.0	1.01524904059e-05	0.000102963841267	0.000315608869219	1.10852301779e-05	0.000315682435611	2.00466865055e-05	1.1458408621e-05	3.0831631884e-05	0.000206452608208	0.000330042020251	0.00011594496479	4.36872512336e-05	0.000341386429413	3.00774494323e-06
p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae;Other	0.0	0.0	0.000541670570599	1.41704528345e-05	2.16430540946e-05	0.0	0.0	2.90130907065e-06	2.7855232784e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.81929568885e-06	0.0	5.13318695195e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.26075055816e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23694558553e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Caryophylloseptoria;Other	2.52678100734e-05	0.0	0.000140541553453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae,g:Pseudocercospora;Other	0.0	0.0	0.00122681064368	0.0	0.0	0.0	5.53453202073e-06	0.0	1.21420245469e-05	9.16553319573e-07	1.50010950799e-06	0.0	0.0	7.64206990048e-07	0.0	4.81929568885e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27261111804e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82100870816e-06	0.0	0.0	0.0	0.0	0.0
